cl,cd,x_le,angle_le,x_te,angle_te
-1.766032,1.917347,0.7091618585534814,1.1175651424735833,0.6615973834241812,1.1047791999455743
-0.6720287,0.4232951,0.4822408086608356,0.9512741212055817,0.35051566568332554,0.8299449149677256
-0.6720287,0.4232951,0.9293559380183922,0.045439108160752716,0.38096099265702427,0.8145895097188371
0.5754751,0.2380971,0.2153540261937265,0.7355382158901097,0.900212669757005,0.2550568658722192
-1.747846,1.120814,0.4790436119837344,1.2139274820471833,0.3350761798255314,0.43240113729339275
-0.6763979,0.4504853,0.10839652696177718,0.09840805815462766,0.7803055805726433,0.5665788191278016
3.12682e+97,-1.317922e+97,0.9302665467879189,0.20211884219695522,0.751080115422929,0.7007909812871672
7681246000000000.0,3462378000000000.0,0.738774822122466,0.2014013208730839,0.30908241420421867,1.1085577457303932
-2.249136,2.522442,0.9318096754546082,1.1068789429122938,0.8177016425853127,0.8264037564647329
158908800.0,-87878080.0,0.8678605025020549,0.3234658936786124,0.6448402643594898,0.9588934332441306
