cl,cd,x_le,angle_le,x_te,angle_te
1.42914e+34,1.209945e+33,0.7513986143143278,0.6986843164880833,0.6291279208465138,1.160649255997891
-1.78441,0.7101654,0.675589447813422,0.5252629925030843,0.5147996906018222,0.7174862050717513
-1.647346,1.989736,0.20298204979077633,0.26542684696626134,0.544022860017094,1.1552667656005389
-1.618031,0.7819866,0.7517403893762861,0.9473842520223883,0.4934774167806112,0.5659716647032106
-1.923511,1.722484,0.6136652360204801,0.01679120924077184,0.7508738183004818,1.0328625316412998
0.3137534,0.3424355,0.08237508020241438,0.9987133108723629,0.15044519518342958,0.9554181067455311
0.6136038,0.2030406,0.6421967564417955,0.3037021644397746,0.6764629107499446,0.19723802277640773
0.9574874,0.1037492,0.5828478985873775,0.18693759580845515,0.612659392046079,0.15258021672256258
-0.09579954,0.4269248,0.539373616080471,1.1540231041182976,0.16915156852131502,0.686921634889331
-1.890401,4.43932,0.5263032443958746,1.3441698435842584,0.4029076956428886,1.3430350208500508
