cl,cd,x_le,angle_le,x_te,angle_te
0.3271565,0.3046824,0.05200018446387409,1.2860969025614901,0.1787557687789999,0.04771994921430706
-1.533164,1.51901,0.16990458897808353,0.9238413833349289,0.4053003304760939,1.1962336156625915
-0.6531874,0.4825072,0.5153688075276702,0.7650865220762769,0.41811953363096244,0.6346988777302318
2.790448e+29,-1.08011e+29,0.5680797431472187,1.3714352896067372,0.7151543566357886,0.6293941527841771
-1.49517,1.179838,0.39657718353890814,1.153870160813825,0.5367829539366946,0.41815982502484833
-100,100,0.2861956937244962,0.3670021846537203,0.2834725785833065,1.240972804376029
-2.634727,4.853656,0.5892148028847856,0.9529513207311342,0.8148487298990921,1.2393260853803059
-1.858849,0.8418549,0.5914400119941416,0.06981586540649076,0.811959338526411,0.674915095806529
-2.212853,2.262287,0.11765340454254222,0.15022620686474317,0.9198145222109532,1.0147902167136185
-1.625369,2.230508,0.5317545284050811,1.215672143109817,0.8168210797076276,1.0513407100411674
